Date,Open,High,Low,Close,Volume
2011-09-19,119.56,120.93,118.72,120.31,47651461
2011-09-20,120.83,121.99,120.01,120.17,46846428
2011-09-21,120.26,120.59,116.44,116.51,74321850
2011-09-22,113.28,114.21,111.3,112.8,96017495
2011-09-23,112.16,114.16,112.02,113.54,64624239
2011-09-26,114.64,116.4,112.98,116.25,58993835
2011-09-27,118.53,119.56,116.84,117.6,69465586
2011-09-28,117.83,118.48,114.97,115.16,59746767
2011-09-29,117.12,117.63,113.94,116.02,65282987
2011-09-30,114.45,115.44,113.07,113.17,59865530
2011-10-03,112.5,113.95,109.82,109.93,73743732
2011-10-04,108.43,112.58,107.43,112.13,95735838
2011-10-05,112.59,114.72,111.58,114.5,65015723
2011-10-06,114.35,116.66,113.51,116.51,55805613
2011-10-07,117.16,117.24,115.06,115.75,76608699
2011-10-10,117.72,119.63,117.67,119.59,48106568
2011-10-11,118.85,120.03,118.75,119.68,38618931
2011-10-12,120.6,122.13,120.33,120.67,56817480
2011-10-13,120.03,120.87,119.12,120.47,44956240
2011-10-14,121.86,122.6,121.23,122.56,43756387
2011-10-17,121.99,122.06,119.93,120.24,43306475
2011-10-18,120.08,123.5,119.2,122.61,66897430
2011-10-19,122.33,123.08,120.72,121.14,44676650
2011-10-20,121.36,122.09,119.82,121.69,58232571
2011-10-21,123.07,124.12,122.72,123.91,54726464
2011-10-24,124.14,125.79,124.06,125.49,40550810
2011-10-25,124.93,124.94,122.78,123.08,55330266
2011-10-26,124.35,124.77,122.21,124.33,62984557
2011-10-27,127.7,129.41,126.61,127.43,84203637
2011-10-28,127.98,128.85,127.8,128.68,39809147
2011-10-31,127.23,127.26,125.32,125.45,43967241
2011-11-01,122.0,123.5,121.52,122.08,92917571
2011-11-02,123.88,124.4,122.8,123.99,53303725
2011-11-03,125.31,126.5,123.6,126.24,61861885
2011-11-04,125.23,125.69,124.02,125.45,44477724
2011-11-07,125.43,126.39,124.21,126.28,40221254
2011-11-08,126.93,128.02,125.71,127.86,45497628
2011-11-09,124.91,125.46,122.87,123.19,71335815
2011-11-10,124.8,124.93,123.02,124.32,45816627
2011-11-11,125.86,126.99,125.8,126.62,36249442
2011-11-14,126.21,126.35,124.92,125.46,29118865
2011-11-15,125.12,126.75,124.72,126.12,36056725
2011-11-16,124.81,126.33,123.9,124.05,49588936
2011-11-17,123.84,124.15,121.24,122.18,63908830
2011-11-18,122.46,122.75,121.47,121.99,44737467
2011-11-21,120.21,120.34,118.66,119.62,43463571
2011-11-22,119.39,120.1,118.53,119.19,43397130
2011-11-23,,,,116.56,0
2011-11-25,116.38,117.7,116.2,116.2,21312446
2011-11-28,119.53,120.18,118.82,119.7,42828544
2011-11-29,120.09,121.0,119.61,120.08,41177514
2011-11-30,123.5,125.22,123.22,125.11,61994264
2011-12-01,124.85,125.64,124.43,124.98,33494814
2011-12-02,126.14,126.5,124.78,124.86,47029127
2011-12-05,126.8,127.18,125.45,126.21,48955606
2011-12-06,126.17,127.11,125.76,126.26,27218979
2011-12-07,125.84,127.26,124.97,126.75,47462667
2011-12-08,125.88,126.18,123.65,123.98,51039070
2011-12-09,124.52,126.37,124.41,126.03,37323724
2011-12-12,124.91,124.97,123.18,124.24,40152712
2011-12-13,124.9,125.57,122.45,123.11,45766318
2011-12-14,122.59,123.03,121.47,121.71,45840916
2011-12-15,123.12,123.19,121.99,122.15,34056875
2011-12-16,122.21,122.94,121.3,121.57,43484888
2011-12-19,122.06,122.32,120.03,120.32,39577182
2011-12-20,122.23,124.13,122.19,123.88,35741385
2011-12-21,123.94,124.36,122.75,124.17,33792020
2011-12-22,124.64,125.39,124.36,125.33,22327643
2011-12-23,,,,126.39,0
2011-12-27,126.15,126.82,126.06,126.49,19008321
2011-12-28,126.53,126.53,124.73,124.92,30203033
2011-12-29,125.21,126.25,125.18,126.1,25251416
2011-12-30,,,,125.5,0
2012-01-03,127.75,128.38,127.44,127.49,38379801
2012-01-04,127.18,127.81,126.72,127.63,23665645
2012-01-05,127.01,128.23,126.43,128.1,36485767
2012-01-06,128.22,128.22,127.29,127.82,29421959
2012-01-09,128.04,128.18,127.41,127.99,21150934
2012-01-10,129.37,129.65,128.95,129.13,22465952
2012-01-11,128.75,129.37,128.52,129.25,22722523
2012-01-12,129.54,129.7,128.54,129.51,24534387
2012-01-13,,,,129.01,0
2012-01-17,130.1,130.32,129.06,129.31,27054142
2012-01-18,129.35,130.84,129.08,130.8,33849548
2012-01-19,131.24,131.57,130.8,131.48,27306784
2012-01-20,131.23,131.95,130.92,131.95,33001013
2012-01-23,131.5,132.25,130.98,131.58,26266200
2012-01-24,130.77,131.5,130.6,131.46,21699820
2012-01-25,131.24,132.87,130.75,132.57,35297847
2012-01-26,133.15,133.39,131.37,131.9,33989406
2012-01-27,131.15,132.05,131.15,131.73,30387256
2012-01-30,130.5,131.44,130.06,131.38,29046766
2012-01-31,132.02,132.18,130.68,131.21,31281903
2012-02-01,132.31,133.13,132.13,132.47,29482697
2012-02-03,134.03,134.62,133.78,134.57,38609038
2012-02-06,133.99,134.5,133.83,134.46,18115703
2012-02-07,134.2,135.02,133.64,134.79,23369501
2012-02-08,134.88,135.22,134.31,135.19,22946408
2012-02-09,135.39,135.58,134.57,135.34,26341805
2012-02-10,134.14,134.47,133.84,134.43,33937762
2012-02-13,135.29,135.52,134.75,135.36,20073035
2012-02-14,134.99,135.27,134.26,135.19,34055136
2012-02-15,135.64,135.83,134.29,134.54,40981041
2012-02-16,134.56,136.17,134.34,136.04,34554564
2012-02-17,136.52,136.57,135.97,136.41,24787990
2012-02-21,136.75,137.05,136.05,136.46,27823950
2012-02-22,136.2,136.55,135.8,136.02,22792730
2012-02-23,135.95,136.73,135.5,136.61,28314475
2012-02-24,136.95,137.2,136.64,136.93,19761191
2012-02-27,136.04,137.53,135.8,137.16,28201726
2012-02-28,137.19,137.65,136.93,137.56,27234370
2012-02-29,137.73,138.19,136.73,136.87,37831484
2012-03-01,137.32,137.99,137.12,137.77,27315142
2012-03-02,137.63,137.82,137.0,137.32,18641857
2012-03-05,137.05,137.19,136.29,136.75,29631897
2012-03-06,135.29,135.43,134.36,134.67,38700523
2012-03-07,135.06,135.91,134.93,135.69,28884438
2012-03-08,136.5,137.32,136.24,137.02,24212228
2012-03-09,137.36,137.93,137.13,137.57,23345469
2012-03-12,137.56,137.76,137.09,137.58,19686388
2012-03-13,138.38,140.12,138.09,140.06,35995873
2012-03-14,140.07,140.44,139.48,139.91,25253574
2012-03-15,140.12,140.78,139.76,140.72,29861808
2012-03-16,140.32,140.48,140.01,140.27,26662498
2012-03-19,140.2,141.28,140.11,140.88,21437422
2012-03-20,140.05,140.61,139.64,140.41,21356955
2012-03-21,140.46,140.65,139.92,140.16,20762910
2012-03-22,139.17,139.55,138.74,139.16,24811911
2012-03-23,139.37,139.81,138.55,139.69,24302310
2012-03-26,140.62,141.61,140.6,141.61,21423562
2012-03-27,141.74,141.83,141.08,141.13,23259684
2012-03-28,141.09,141.32,139.64,140.43,33007360
2012-03-29,139.62,140.42,139.09,140.22,31325903
2012-03-30,140.91,141.05,140.06,140.72,25331338
2012-04-02,140.64,142.21,140.37,141.79,26897090
2012-04-03,141.6,141.87,140.43,141.26,25222416
2012-04-04,140.17,140.33,139.35,139.84,28333540
2012-04-05,139.4,140.2,139.26,139.78,31771438
2012-04-09,137.94,138.78,137.84,138.23,26399657
2012-04-10,137.94,138.34,135.77,135.84,46730989
2012-04-11,137.33,137.54,136.75,136.9,27795033
2012-04-12,137.13,138.9,137.03,138.85,31448270
2012-04-13,138.46,138.48,137.01,137.13,35521360
2012-04-16,137.83,138.04,136.58,136.93,30917026
2012-04-17,137.86,139.36,137.7,139.09,28609152
2012-04-18,138.49,139.08,138.38,138.59,22762172
2012-04-19,138.6,139.14,137.07,137.75,40417422
2012-04-20,138.24,138.83,137.89,137.95,24761330
2012-04-23,136.55,136.91,135.94,136.79,34608573
2012-04-24,136.87,137.65,136.8,137.31,31526611
2012-04-25,138.56,139.24,138.53,139.24,30557059
2012-04-26,138.91,140.32,138.81,140.17,30538890
2012-04-27,140.56,140.78,139.8,140.42,25113818
2012-04-30,140.13,140.21,139.5,139.77,27379648
2012-05-01,139.81,141.66,139.63,140.74,24252370
2012-05-02,139.93,140.46,139.47,140.28,26238380
2012-05-03,140.4,140.45,139.0,139.25,29832558
2012-05-04,138.52,138.66,136.92,136.96,34277304
2012-05-07,136.48,137.55,136.46,137.1,25327785
2012-05-08,136.31,136.77,134.93,136.5,37323139
2012-05-09,135.1,136.61,134.49,135.74,42745341
2012-05-10,136.75,136.85,135.71,135.95,30797868
2012-05-11,135.16,136.86,135.11,135.56,32950628
2012-05-14,134.32,135.03,133.91,134.13,30792744
2012-05-15,134.05,134.8,133.13,133.35,37874871
2012-05-16,133.92,134.54,132.81,132.88,41923924
2012-05-17,132.88,133.02,130.81,130.87,44247336
2012-05-18,131.4,131.6,129.56,129.74,56712718
2012-05-21,130.14,132.02,129.95,132.02,37132290
2012-05-22,132.34,133.23,131.35,132.2,33133055
2012-05-23,131.26,132.46,129.99,132.27,38850121
2012-05-24,132.67,132.84,131.42,132.53,31309748
2012-05-25,132.48,132.85,131.78,132.1,28450945
2012-05-29,133.16,133.92,132.75,133.7,32727593
2012-05-30,132.59,132.62,131.49,131.73,34242987
2012-05-31,131.71,132.45,130.34,131.49,38875284
2012-06-01,129.41,129.85,128.16,128.16,52417135
2012-06-04,128.44,128.74,127.14,128.1,45803224
2012-06-05,127.88,129.26,127.79,129.03,30729646
2012-06-06,129.98,132.03,129.93,132.02,36871391
2012-06-07,133.49,133.53,131.79,132.05,37602721
2012-06-08,131.72,133.12,131.29,133.12,28716688
2012-06-11,134.19,134.25,131.28,131.45,34625482
2012-06-12,131.8,133.01,131.16,133.01,33235935
2012-06-13,132.5,133.36,131.62,132.1,30275262
2012-06-14,132.38,134.0,131.99,133.57,40630557
2012-06-15,,,,133.57,0
2012-06-18,133.59,134.73,133.28,134.43,29353246
2012-06-19,135.13,136.24,134.93,135.69,25030313
2012-06-20,135.76,136.09,134.27,135.44,36916171
2012-06-21,135.67,135.78,132.33,132.44,42681082
2012-06-22,133.11,133.71,132.63,133.42,28425586
2012-06-25,132.1,132.1,130.85,131.26,31219502
2012-06-26,131.69,132.38,130.94,132.0,27578814
2012-06-27,132.4,133.43,132.32,133.17,21385160
2012-06-28,132.32,132.99,131.29,132.79,33955169
2012-06-29,135.24,136.27,134.85,136.27,42575829
2012-07-02,136.53,136.65,135.53,136.46,27290924
2012-07-03,136.51,137.5,136.34,137.47,14837685
2012-07-05,136.93,137.4,136.29,136.84,23446764
2012-07-06,135.56,135.77,134.86,135.59,30405365
2012-07-09,135.41,135.57,134.7,135.32,19705864
2012-07-10,136.08,136.23,133.68,134.14,30450240
2012-07-11,134.23,134.6,133.38,134.16,27385094
2012-07-12,133.39,134.1,132.6,133.51,29715598
