Name,Symbol,Last price,Change,Mkt cap,Volume,Open,High,Low
State Bank of India,SBIN,310.60,5.35,2676293.38,11420767,305.8,311.8,305.15
HDFC Bank Limited,HDFCBANK,1788.95,-1.30,4632840.09,479665,1786,1796.45,1785
Indusind Bank Ltd,INDUSINDBK,1652.00,-12.70,987377.80,386830,1670,1674.55,1647.7
PVR Limited,PVR,1431.40,31.20,66911.17,290183,1405,1437.2,1381.1
CESC Ltd,CESC,977.50,9.95,129775.73,576425,971,984.75,966.7
Centrum Capital Ltd,501150,59.00,9.30,24545.94,46144868,49.95,59.5,45.1
L&T Finance Holdings Ltd,L&TFH,176.50,2.50,320702.78,3878232,175.65,178.25,174.55
Sun Pharmaceutical Industries Limited,SUNPHARMA,506.25,-0.15,1212016.37,2279879,508.9,513.15,504.25
Kotak Mahindra Bank Ltd,KOTAKBANK,996.75,0.55,1897859.24,619240,1000.15,1001.95,994.3
INOX Leisure Ltd,INOXLEISUR,247.00,-2.40,23844.18,102888,252,252,242.5
ICICI Bank Ltd,ICICIBANK,300.00,3.75,1920509.43,11870705,297.25,303,296.7
Nilkamal Ltd.,NILKAMAL,1749.00,-36.60,26079.05,53920,1796.9,1824.9,1730.1
DLF Ltd,DLF,191.00,1.20,341113.91,4263872,190.05,193.4,190.05
Housing Development & Infrastructure,HDIL,68.75,-7.00,29857.48,36548682,75,75.4,68.5
Exide Industries Ltd,EXIDEIND,217.50,1.70,184746.58,2256570,216,219.75,214.8
MindTree Ltd,MINDTREE,484.00,12.95,81173.31,357082,471,485.35,468.1
Hindalco Industries Ltd,HINDALCO,228.20,2.95,511507.38,4951339,226.35,228.7,224.1
Punjab National Bank,PNB,152.00,0.95,323023.47,5372108,151.3,153,151.05
Arvind Limited,ARVIND,390.40,25.70,100980.43,4863745,366,391.9,366
Tata Motors Limited,TATAMOTORS,430.05,-5.55,1369248.57,6461815,438.6,439.8,425.3
Axis Bank Ltd,AXISBANK,505.55,-2.55,1212634.02,5293884,509,511.8,504.1
Voltas Limited,VOLTAS,537.00,-4.70,177488.55,784124,545.8,546.3,535.1
Kajaria Ceramics Limited,KAJARIACER,641.45,-6.55,101707.48,238247,654.9,654.9,636.75
Asian Paints Ltd,ASIANPAINT,1150.00,-7.30,1101459.88,576280,1160,1160.75,1142.4
Pidilite Industries Limited,PIDILITIND,815.05,6.80,419809.81,251391,805.1,815.05,805.1
Yes Bank Limited,YESBANK,1798.50,-9.45,819836.40,1331197,1810,1817,1793.75
Union Bank of India,UNIONBANK,146.80,1.70,100466.30,2344223,146.25,147.65,144.8
Bharti Airtel Limited,BHARTIARTL,417.50,-3.40,1668122.19,1170962,420.85,422.6,416.45
Ashok Leyland Ltd,ASHOKLEY,111.10,1.90,323951.38,8251146,108.9,111.5,108.7
NMDC Limited,NMDC,126.10,0.90,398648.19,1568811,125.95,126.75,125.2
Bajaj Finance Ltd,BAJFINANCE,1800.00,76.55,986311.23,1504033,1735.5,1805.95,1729.6
Emkay Global Financial Services Ltd,EMKAY,178.00,2.25,4381.43,17883,178.5,179.85,171.5
Titan Company Ltd,TITAN,612.35,1.15,544036.38,2467527,608,618.4,602.1
S Chand and Company Ltd,SCHAND,493.00,-6.95,17156.83,53149,497.1,503,492.9
Chennai Petroleum Corporation Limited,CHENNPETRO,415.50,12.10,61934.10,2886864,395,422.35,382.55
V-Mart Retail Ltd,VMART,1186.65,25.10,21541.06,2739,1175.95,1190.95,1165.05
Jammu & Kashmir Bank Limited,J&KBANK,81.20,0.40,45161.01,153012,80.5,81.65,80.5
PTC India Ltd,PTC,123.30,5.60,36497.83,3806190,117.55,124.15,117.55
JSW Energy Ltd,JSWENERGY,69.05,0.80,113997.38,5240877,68.15,69.85,67.35
Sintex Industries Ltd,SINTEX,36.40,2.80,20169.86,25027265,34.25,36.45,34.25
Zee Entertainment Enterprises Limited,ZEEL,540.00,-1.85,518355.28,809866,542.15,545.3,539.95
Allahabad Bank,ALBK,71.75,0.30,53397.11,1452479,71.8,72.35,71.4
Amara Raja Batteries Ltd,AMARAJABAT,814.40,8.60,139421.13,1235383,809.65,835,792.85
Bharti Infratel Ltd,INFRATEL,399.00,-7.55,739722.29,2453089,406.5,408.5,395.6
Aurobindo Pharma Ltd,AUROPHARMA,726.00,0.70,425702.78,1316319,727,734.8,721.7
City Union Bank Ltd,CUB,171.00,2.95,113026.73,441096,172.8,173,169.85
Dr.Reddy's Laboratories Ltd,DRREDDY,2202.00,-37.55,365390.51,736078,2240,2257,2200
Housing Development Finance Corp Ltd,HDFC,1720.45,-10.90,2740900.09,2372097,1731,1753,1720.1
TVS Motor Company Limited,TVSMOTOR,601.50,2.20,286003.51,598149,600,606.05,598
Eicher Motors Ltd,EICHERMOT,31960.00,322.75,868294.52,35910,31700,32191,31651.35
Tata Steel Limited,TATASTEEL,600.80,24.95,578533.46,11012930,585,601.65,584
Indiabulls Housing Finance Ltd,IBULHSGFIN,1197.05,-16.15,508468.24,578775,1212.7,1216.6,1195.6
Coal India Ltd,COALINDIA,251.25,2.05,1559611.19,3336900,249.8,253.2,248.6
Ambuja Cements Ltd,AMBUJACEM,278.85,1.40,555198.02,1632831,276.7,281.45,272.5
Motilal Oswal Financial Services Limited,MOTILALOFS,1088.00,1.85,157076.53,106850,1086,1110,1073.85
ABB India Ltd,ABB,1409.95,-16.25,297986.22,26755,1440,1440,1400.05
Abbott India Limited,ABBOTINDIA,4460.00,92.35,94504.67,2059,4435.15,4468.9,4345
Aditya Birla Fashion and Retail Ltd,ABFRL,169.95,-1.85,130600.81,266838,174,175.5,169.1
3M India Ltd,3MINDIA,13844.80,567.70,156269.87,1877,13300.05,14037.95,13300.05
3i Infotech Ltd,3IINFOTECH,4.05,-0.05,5208.29,4034736,4.1,4.15,4
Venky's (India) Ltd,VENKEYS,2187.95,37.00,30425.62,217604,2200,2289.85,2152.1
Shemaroo Entertainment Ltd,SHEMAROO,356.10,-1.45,9656.64,4635,356.3,360,354
Heritage Foods Ltd,HERITGFOOD,1293.20,30.15,30071.18,15318,1251.15,1310,1251.15
Quick Heal Technologies Ltd,QUICKHEAL,212.50,3.15,14904.44,84073,210.5,213.5,210.15
Ansal Housing and Construction Ltd,ANSALHSG,24.80,0.10,1472.77,55634,25.5,25.5,22.5
Apollo Tyres Ltd,APOLLOTYRE,285.30,23.05,144481.07,18908914,255.6,288.45,255.6
Archies Limited,ARCHIES,32.10,1.20,1084.34,119027,32.55,32.8,31.75
Atul Auto Ltd,ATULAUTO,434.10,-0.55,9518.97,12476,431.7,440,431.15
Atul Ltd,ATUL,2097.45,-4.05,62251.03,14466,2114.95,2115,2081.5
Bajaj Auto Ltd,BAJAJ-AUTO,2890.00,15.35,836561.70,169287,2875,2903.55,2868.35
Bajaj Finserv Ltd,BAJAJFINSV,5435.00,126.85,864742.79,243057,5310.8,5495,5310.8
Bajaj Holdings And Investment Ltd,BAJAJHLDNG,2565.00,148.35,284731.52,66226,2422.95,2575,2422.95
Bank of Baroda Ltd,BANKBARODA,160.00,1.05,368317.99,4382843,160.7,161.3,159.2
Bank of India,BANKINDIA,158.00,-0.45,169567.34,2783549,159,159.6,156.7
BEML Ltd,BEML,1720.00,-7.65,71366.23,289668,1740.1,1747.9,1712.35
Berger Paints India Ltd,BERGEPAINT,249.25,7.90,241368.34,865622,240,249.9,237.6
Thomas Scott India Ltd,THOMASCOTT,19.60,0.10,66.44,50,19.6,19.6,19.6
Welspun Global Brands Ltd,WELGLOB,57.55,-0.65,602.86,0,,,
Bharat Forge Ltd,BHARATFORG,1168.00,12.55,272127.51,503083,1155.45,1170.35,1153.55
Bharati Defence and Infrastructure Ltd,BHARATIDIL,9.65,-0.10,482.91,20440,10.3,10.3,9.55
Bharat Heavy Electricals Limited,BHEL,138.35,1.10,338995.96,2710873,137.95,140.2,137.2
Biocon Ltd,BIOCON,354.70,-2.30,213028.86,1723793,360.2,362.1,353.4
Blue Dart Express Limited,BLUEDART,4150.00,-40.00,98678.18,8880,4200.05,4224.8,4134.1
Blue Star Ltd,BLUESTARCO,693.00,16.60,66526.34,38658,679,699.2,670.85
Bombay Dyeing and Manufacturing Company,BOMDYEING,82.90,1.40,16996.61,1552475,82.05,84.25,81.4
Bosch Ltd,BOSCHLTD,24315.00,-245.20,745211.27,8954,24600,24683.45,24301
Bharat Petroleum Corp Ltd,BPCL,525.95,8.05,1139049.05,4681753,520,529,514.55
Britannia Industries Ltd,BRITANNIA,4105.00,187.60,494407.78,891341,3918.8,4211.85,3900.05
Burnpur Cement Ltd,BURNPUR,9.00,0.00,770.84,116625,8.9,9.2,8.9
Goenka Diamond and Jewels Limited,GOENKA,0.30,0.00,95.10,7300,0.3,0.3,0.25
Shree Ganesh Jewellery House I Ltd,SGJHL,1.50,-0.05,107.86,926,1.5,1.5,1.5
Cadila Healthcare Ltd,CADILAHC,534.70,1.80,546267.56,455871,537,542.95,528.25
Canara Bank Ltd,CANBK,352.00,0.40,211146.91,850397,351.6,354.7,350.4
Castrol India Limited,CASTROLIND,398.50,2.40,197456.52,523832,397.35,400,391.65
Country Club Hospitality & Holidays Ltd,CCHHL,14.70,-0.25,2394.92,124633,14.95,15.2,14.7
Central Bank Of India,CENTRALBK,86.40,-1.15,164912.70,1081724,87.55,88.9,86
Cineline India Ltd,CINELINE,74.60,0.50,2070.64,35960,74,75,70.1
Cipla Ltd,CIPLA,565.20,-3.50,455121.47,769606,566.5,571.1,553
Coffee Day Enterprises Ltd,COFFEEDAY,247.75,2.70,51036.92,35294,246,251.4,246
Colgate-Palmolive (India) Limited,COLPAL,1072.00,-1.50,291555.04,119734,1079,1079,1066
Container Corporation of India Ltd,CONCOR,1181.05,1.45,288908.21,285967,1187.8,1208.8,1180.15
Corporation Bank,CORPBANK,48.90,0.00,55635.96,177926,49.3,49.4,48.4
